id;number;alias_account;bacc_bank_code;bacc_branch_code;bacc_account_number;bacc_rib_key;card_cvv_2;card_pan;card_validity_date;momo_account;meansofpayment_type_code;issuer_code;active
1;Illinois d;methodology Integration Music;Pants;Avon;blue scalable Car;bypas;Fresh;Jewelery Engineer Be;Tanzania;Gardens synthesizing;silve;syste;false
2;program Bo;Auto Loan Account asymmetric Montana;Applicatio;Montenegro;frictionless;Rubbe;Trini;Customer-focused;Shoes Ru;users scalable;trans;matri;false
3;synthesize;synthesizing;indigo Bac;Programmab;HDD;Tanza;e-ena;convergence Idaho cu;synthesi;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credi;Beliz;true
4;Borders re;mobile Cheese;program;hack Elect;Cambridgeshire navigate Licensed;Fanta;Inves;haptic Shoes;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port ;Chips;false
5;Glen Commu;Customer;Avon;Advanced b;Security Virginia;solid;Maine;Unbranded programmin;Concrete;Pizza yellow programming;FTP;Persi;false
6;navigate;neural;Money Mark;synergize;JSON National;inter;Idaho;Concrete Towels Avon;Automoti;Indiana deposit Electronics;Bedfo;Towel;false
7;Officer Be;application scale;indigo Nat;Expressway;Tools Street;Arkan;Mount;Borders hack;Pants;Tasty navigate didactic;payme;calcu;true
8;web-readin;Distributed;Avon Check;Salad paym;bandwidth;Visio;Marke;eco-centric Senior;deposit;fuchsia Music Salad;withd;gener;false
9;Alaska sol;best-of-breed generate;applicatio;Consultant;Cambridgeshire Central;Table;Peru ;invoice;Liaison ;Lari;Sport;Bedfo;false
10;microchip ;Future;pixel Phas;Towels Int;seize generate;Fanta;Gener;Business-focused gen;Internat;West Virginia Keys;Facto;black;false
